model,total_gpu_energy,energy_score,class
berkeley-nest/Starling-LM-7B-alpha,0.019010862,2,A
distilbert/distilgpt2,0.001313333,5,A
Salesforce/xLAM-7b-r,0.019170496,2,A
openai-community/gpt2,0.002146239,5,A
openai-community/gpt2-xl,0.008921289,4,A
openai-community/gpt2-medium,0.003956383,5,A
openai-community/gpt2-large,0.006120968,5,A
openai-community/openai-gpt,0.002703617,5,A
microsoft/phi-1,0.006393343,5,A
microsoft/phi-1_5,0.006290348,5,A
microsoft/phi-2,0.009863832,4,A
microsoft/phi-4,0.028741175,1,A
CohereForAI/aya-23-8B,0.017817499,2,A
allenai/OLMo-1.7-7B-hf,0.016831336,3,A
allenai/OLMo-1B-hf,0.005593808,5,A
facebook/opt-2.7b,0.008059587,4,A
facebook/opt-125m,0.001943623,5,A
mistralai/Mistral-7B-v0.1,0.019130424,2,A
mistralai/Ministral-8B-Instruct-2410,0.02087486,2,A
tiiuae/falcon-7b,0.015875393,3,A
meta-llama/Meta-Llama-3-8B,0.017333139,3,A
meta-llama/Llama-2-7b-hf,0.016441257,3,A
meta-llama/Meta-Llama-3.1-8B,0.017376263,3,A
meta-llama/Llama-2-13b-hf,0.026102442,1,A
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.007708234,4,A
HuggingFaceTB/SmolLM-1.7B,0.007644623,4,A
HuggingFaceTB/SmolLM-135M,0.007279517,4,A
HuggingFaceTB/SmolLM-360M,0.008095212,4,A
google/gemma-2b,0.008679811,4,A
google/gemma-7b,0.018899583,2,A
google/gemma-2-2b-it,0.018639217,2,A
01-ai/Yi-1.5-9B,0.023000635,2,A
mistralai/Mixtral-8x7B-v0.1,0.615390413,1,B
Qwen/QwQ-32B-Preview,0.054556478,5,B
01-ai/Yi-1.5-34B,0.056079427,5,B
CohereForAI/c4ai-command-r-plus,3.426381777,1,C
crm-sf/TextBase-70B,1.721555861,5,C
meta-llama/Meta-Llama-3-70B,1.71965556,5,C
meta-llama/Llama-2-70b-hf,1.648505252,5,C
Qwen/Qwen2.5-72B-Instruct,1.86955316,5,C